kappa,agent_id,episode_idx,outcome,steps_used,target_switches,n_memories
0.25,43,5,TIMEOUT,12,1,7
0.25,43,6,TIMEOUT,12,0,8
0.25,43,7,RESOURCE_TAKEN,11,0,9
0.25,43,8,TIMEOUT,12,1,10
0.25,43,9,TIMEOUT,12,2,11
0.25,44,0,TIMEOUT,12,0,2
0.25,44,1,TIMEOUT,12,1,3
0.25,44,2,TIMEOUT,12,0,4
0.25,44,3,TIMEOUT,12,0,5
0.25,44,4,TIMEOUT,12,0,6
0.25,44,5,RESOURCE_TAKEN,12,0,7
0.25,44,6,TIMEOUT,12,0,8
0.25,44,7,TIMEOUT,12,0,9
0.25,44,8,TIMEOUT,12,1,10
0.25,44,9,TIMEOUT,12,0,11
0.25,45,0,TIMEOUT,12,0,2
0.25,45,1,TIMEOUT,12,0,3
0.25,45,2,TIMEOUT,12,0,4
0.25,45,3,TIMEOUT,12,0,5
0.25,45,4,TIMEOUT,12,0,6
0.25,45,5,TIMEOUT,12,0,7
0.25,45,6,TIMEOUT,12,2,8
0.25,45,7,TIMEOUT,12,1,9
0.25,45,8,TIMEOUT,12,0,10
0.25,45,9,TIMEOUT,12,2,11
0.25,46,0,TIMEOUT,12,2,2
0.25,46,1,TIMEOUT,12,2,3
0.25,46,2,TIMEOUT,12,0,4
0.25,46,3,RESOURCE_TAKEN,8,0,5
0.25,46,4,TIMEOUT,12,2,6
0.25,46,5,TIMEOUT,12,0,7
0.25,46,6,TIMEOUT,12,1,8
0.25,46,7,TIMEOUT,12,1,9
0.25,46,8,RESOURCE_TAKEN,10,0,10
0.25,46,9,TIMEOUT,12,2,11
0.25,47,0,TIMEOUT,12,0,2
0.25,47,1,RESOURCE_TAKEN,11,1,3
0.25,47,2,TIMEOUT,12,0,4
0.25,47,3,TIMEOUT,12,1,5
0.25,47,4,RESOURCE_TAKEN,11,0,6
0.25,47,5,RESOURCE_TAKEN,11,0,7
0.25,47,6,TIMEOUT,12,0,8
0.25,47,7,TIMEOUT,12,0,9
0.25,47,8,RESOURCE_TAKEN,12,0,10
0.25,47,9,TIMEOUT,12,2,11
0.25,48,0,TIMEOUT,12,0,2
0.25,48,1,TIMEOUT,12,0,3
0.25,48,2,RESOURCE_TAKEN,9,0,4
0.25,48,3,TIMEOUT,12,1,5
0.25,48,4,TIMEOUT,12,0,6
0.25,48,5,RESOURCE_TAKEN,11,1,7
0.25,48,6,TIMEOUT,12,1,8
0.25,48,7,TIMEOUT,12,0,9
0.25,48,8,TIMEOUT,12,0,10
0.25,48,9,RESOURCE_TAKEN,12,0,11
0.25,49,0,TIMEOUT,12,3,2
0.25,49,1,TIMEOUT,12,1,3
0.25,49,2,TIMEOUT,12,2,4
0.25,49,3,TIMEOUT,12,0,5
0.25,49,4,RESOURCE_TAKEN,12,0,6
0.25,49,5,TIMEOUT,12,0,7
0.25,49,6,TIMEOUT,12,0,8
0.25,49,7,TIMEOUT,12,0,9
0.25,49,8,RESOURCE_TAKEN,9,1,10
0.25,49,9,TIMEOUT,12,0,11
0.25,50,0,TIMEOUT,12,1,2
0.25,50,1,TIMEOUT,12,1,3
0.25,50,2,RESOURCE_TAKEN,10,0,4
0.25,50,3,TIMEOUT,12,0,5
0.25,50,4,TIMEOUT,12,1,6
0.25,50,5,RESOURCE_TAKEN,8,0,7
0.25,50,6,TIMEOUT,12,2,8
