inject_mode,beta_guilt,beta_loyalty,kappa,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
off,0.05,0.05,1.0,32,5,PARTNER_DEAD,0,7,1
off,0.05,0.05,1.0,32,6,TIMEOUT,0,8,1
off,0.05,0.05,1.0,32,7,TIMEOUT,0,9,1
off,0.05,0.05,1.0,32,8,PARTNER_RESCUED,1,10,0
off,0.05,0.05,1.0,32,9,PARTNER_RESCUED,1,11,0
off,0.05,0.05,1.0,33,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,33,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,33,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,33,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,33,4,TIMEOUT,0,6,1
off,0.05,0.05,1.0,33,5,TIMEOUT,0,7,0
off,0.05,0.05,1.0,33,6,TIMEOUT,0,8,2
off,0.05,0.05,1.0,33,7,TIMEOUT,0,9,1
off,0.05,0.05,1.0,33,8,TIMEOUT,0,10,0
off,0.05,0.05,1.0,33,9,PARTNER_RESCUED,1,11,0
off,0.05,0.05,1.0,34,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,34,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,34,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,34,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,34,4,TIMEOUT,0,6,1
off,0.05,0.05,1.0,34,5,PARTNER_DEAD,0,7,0
off,0.05,0.05,1.0,34,6,TIMEOUT,0,8,1
off,0.05,0.05,1.0,34,7,TIMEOUT,0,9,1
off,0.05,0.05,1.0,34,8,PARTNER_RESCUED,1,10,0
off,0.05,0.05,1.0,34,9,PARTNER_RESCUED,1,11,0
off,0.05,0.05,1.0,35,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,35,1,PARTNER_RESCUED,1,3,0
off,0.05,0.05,1.0,35,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,35,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,35,4,PARTNER_RESCUED,1,6,0
off,0.05,0.05,1.0,35,5,PARTNER_RESCUED,1,7,0
off,0.05,0.05,1.0,35,6,PARTNER_RESCUED,1,8,0
off,0.05,0.05,1.0,35,7,PARTNER_RESCUED,1,9,0
off,0.05,0.05,1.0,35,8,TIMEOUT,0,10,0
off,0.05,0.05,1.0,35,9,TIMEOUT,0,11,0
off,0.05,0.05,1.0,36,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,36,1,TIMEOUT,0,3,2
off,0.05,0.05,1.0,36,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,36,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,36,4,PARTNER_RESCUED,1,6,0
off,0.05,0.05,1.0,36,5,TIMEOUT,0,7,1
off,0.05,0.05,1.0,36,6,TIMEOUT,0,8,0
off,0.05,0.05,1.0,36,7,PARTNER_RESCUED,1,9,0
off,0.05,0.05,1.0,36,8,PARTNER_RESCUED,1,10,0
off,0.05,0.05,1.0,36,9,TIMEOUT,0,11,1
off,0.05,0.05,1.0,37,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,37,1,PARTNER_RESCUED,1,3,0
off,0.05,0.05,1.0,37,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,37,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,37,4,PARTNER_RESCUED,1,6,0
off,0.05,0.05,1.0,37,5,TIMEOUT,0,7,1
