beta_guilt,beta_loyalty,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.05,0.05,35,1,TIMEOUT,0,3,0
0.05,0.05,35,2,TIMEOUT,0,4,1
0.05,0.05,35,3,TIMEOUT,0,5,0
0.05,0.05,35,4,TIMEOUT,0,6,1
0.05,0.05,35,5,TIMEOUT,0,7,1
0.05,0.05,35,6,RESOURCE_TAKEN,0,8,1
0.05,0.05,35,7,PARTNER_RESCUED,1,9,0
0.05,0.05,35,8,PARTNER_RESCUED,1,10,0
0.05,0.05,35,9,TIMEOUT,0,11,1
0.05,0.05,36,0,PARTNER_RESCUED,1,2,0
0.05,0.05,36,1,TIMEOUT,0,3,0
0.05,0.05,36,2,TIMEOUT,0,4,0
0.05,0.05,36,3,TIMEOUT,0,5,2
0.05,0.05,36,4,TIMEOUT,0,6,0
0.05,0.05,36,5,TIMEOUT,0,7,0
0.05,0.05,36,6,TIMEOUT,0,8,0
0.05,0.05,36,7,TIMEOUT,0,9,1
0.05,0.05,36,8,TIMEOUT,0,10,1
0.05,0.05,36,9,RESOURCE_TAKEN,0,11,2
0.05,0.05,37,0,PARTNER_RESCUED,1,2,0
0.05,0.05,37,1,TIMEOUT,0,3,1
0.05,0.05,37,2,TIMEOUT,0,4,2
0.05,0.05,37,3,TIMEOUT,0,5,2
0.05,0.05,37,4,RESOURCE_TAKEN,0,6,0
0.05,0.05,37,5,PARTNER_RESCUED,1,7,0
0.05,0.05,37,6,PARTNER_RESCUED,1,8,0
0.05,0.05,37,7,TIMEOUT,0,9,1
0.05,0.05,37,8,TIMEOUT,0,10,0
0.05,0.05,37,9,TIMEOUT,0,11,1
0.05,0.05,38,0,PARTNER_RESCUED,1,2,0
0.05,0.05,38,1,TIMEOUT,0,3,1
0.05,0.05,38,2,TIMEOUT,0,4,1
0.05,0.05,38,3,TIMEOUT,0,5,1
0.05,0.05,38,4,TIMEOUT,0,6,1
0.05,0.05,38,5,PARTNER_RESCUED,1,7,0
0.05,0.05,38,6,TIMEOUT,0,8,2
0.05,0.05,38,7,TIMEOUT,0,9,0
0.05,0.05,38,8,TIMEOUT,0,10,1
0.05,0.05,38,9,TIMEOUT,0,11,0
0.05,0.05,39,0,PARTNER_RESCUED,1,2,0
0.05,0.05,39,1,PARTNER_DEAD,0,3,0
0.05,0.05,39,2,PARTNER_RESCUED,1,4,0
0.05,0.05,39,3,PARTNER_RESCUED,1,5,0
0.05,0.05,39,4,TIMEOUT,0,6,0
0.05,0.05,39,5,TIMEOUT,0,7,2
0.05,0.05,39,6,TIMEOUT,0,8,0
0.05,0.05,39,7,TIMEOUT,0,9,3
0.05,0.05,39,8,TIMEOUT,0,10,2
0.05,0.05,39,9,TIMEOUT,0,11,0
0.05,0.05,40,0,TIMEOUT,0,2,0
0.05,0.05,40,1,TIMEOUT,0,3,2
0.05,0.05,40,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,40,3,TIMEOUT,0,5,0
0.05,0.05,40,4,TIMEOUT,0,6,1
0.05,0.05,40,5,RESOURCE_TAKEN,0,7,0
0.05,0.05,40,6,TIMEOUT,0,8,0
0.05,0.05,40,7,TIMEOUT,0,9,0
0.05,0.05,40,8,TIMEOUT,0,10,0
