beta_guilt,beta_loyalty,kappa,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.05,0.05,0.5,40,7,TIMEOUT,0,9,0
0.05,0.05,0.5,40,8,TIMEOUT,0,10,1
0.05,0.05,0.5,40,9,RESOURCE_TAKEN,0,11,0
0.05,0.05,0.5,41,0,TIMEOUT,0,2,1
0.05,0.05,0.5,41,1,TIMEOUT,0,3,2
0.05,0.05,0.5,41,2,TIMEOUT,0,4,0
0.05,0.05,0.5,41,3,TIMEOUT,0,5,0
0.05,0.05,0.5,41,4,RESOURCE_TAKEN,0,6,0
0.05,0.05,0.5,41,5,TIMEOUT,0,7,0
0.05,0.05,0.5,41,6,RESOURCE_TAKEN,0,8,0
0.05,0.05,0.5,41,7,TIMEOUT,0,9,1
0.05,0.05,0.5,41,8,TIMEOUT,0,10,2
0.05,0.05,0.5,41,9,TIMEOUT,0,11,0
0.05,0.05,0.5,42,0,PARTNER_RESCUED,1,2,0
0.05,0.05,0.5,42,1,TIMEOUT,0,3,2
0.05,0.05,0.5,42,2,TIMEOUT,0,4,2
0.05,0.05,0.5,42,3,TIMEOUT,0,5,1
0.05,0.05,0.5,42,4,TIMEOUT,0,6,1
0.05,0.05,0.5,42,5,TIMEOUT,0,7,0
0.05,0.05,0.5,42,6,TIMEOUT,0,8,0
0.05,0.05,0.5,42,7,RESOURCE_TAKEN,0,9,0
0.05,0.05,0.5,42,8,PARTNER_RESCUED,1,10,0
0.05,0.05,0.5,42,9,TIMEOUT,0,11,0
0.05,0.05,0.5,43,0,TIMEOUT,0,2,1
0.05,0.05,0.5,43,1,RESOURCE_TAKEN,0,3,0
0.05,0.05,0.5,43,2,TIMEOUT,0,4,1
0.05,0.05,0.5,43,3,TIMEOUT,0,5,0
0.05,0.05,0.5,43,4,RESOURCE_TAKEN,0,6,0
0.05,0.05,0.5,43,5,TIMEOUT,0,7,0
