beta_guilt,beta_loyalty,kappa,agent_id,ep0_outcome,ep1_outcome,snapshot_after_ep,mem_idx,tag,age,importance,guilt,loyalty,survival,fear,curiosity,emo_magnitude,mem_class
0.05,0.05,0.5,6,TIMEOUT,TIMEOUT,4,1,timeout,41,0.5,0.04883461949473917,0.03662596462105439,0.2,0.2,0.0,0.48546058411579357,guilt
0.05,0.05,0.5,6,TIMEOUT,TIMEOUT,4,2,timeout,29,0.5,0.09037421639702622,0.06778066229776968,0.2,0.2,0.0,0.5581548786947959,guilt
0.05,0.05,0.5,6,TIMEOUT,TIMEOUT,4,3,failure,19,0.85,0.32075056215501124,0.18867680126765357,0.3,0.2,0.0,1.0094273634226647,guilt
0.05,0.05,0.5,6,TIMEOUT,TIMEOUT,4,4,rescue,12,0.7,0.0,0.43228807013010934,0.1,0.1,0.0,0.6322880701301093,loyalty
0.05,0.05,0.5,6,TIMEOUT,TIMEOUT,4,5,timeout,0,0.5,0.4,0.3,0.2,0.2,0.0,1.1,guilt
0.05,0.05,0.5,6,TIMEOUT,TIMEOUT,9,0,seed,125,0.9,0.0031903555896487454,0.002126903726432497,0.2,0.1,0.0,0.3053172593160812,guilt
0.05,0.05,0.5,6,TIMEOUT,TIMEOUT,9,1,timeout,98,0.5,0.0026240572721701917,0.0019680429541276447,0.2,0.2,0.0,0.4045921002262979,guilt
0.05,0.05,0.5,6,TIMEOUT,TIMEOUT,9,2,timeout,86,0.5,0.004856127112423727,0.003642095334317797,0.2,0.2,0.0,0.40849822244674155,guilt
0.05,0.05,0.5,6,TIMEOUT,TIMEOUT,9,3,failure,76,0.85,0.017235065080546102,0.010138273576791815,0.3,0.2,0.0,0.5273733386573379,guilt
0.05,0.05,0.5,6,TIMEOUT,TIMEOUT,9,4,rescue,69,0.7,0.0,0.023228370894126275,0.1,0.1,0.0,0.22322837089412628,loyalty
0.05,0.05,0.5,6,TIMEOUT,TIMEOUT,9,5,timeout,57,0.5,0.021493418393096105,0.016120063794822087,0.2,0.2,0.0,0.4376134821879182,guilt
0.05,0.05,0.5,6,TIMEOUT,TIMEOUT,9,6,failure,45,0.85,0.08452421843902844,0.049720128493546116,0.3,0.2,0.0,0.6342443469325745,guilt
0.05,0.05,0.5,6,TIMEOUT,TIMEOUT,9,7,timeout,33,0.5,0.07361036409423032,0.05520777307067275,0.2,0.2,0.0,0.5288181371649031,guilt
