cell,tau_guilt,tau_loyalty,agent_id,episode_idx,outcome,rescued,n_memories,e_max,was_encoded,target_switches
G0.3_L0.3,0.3,0.3,25,5,TIMEOUT,0,7,0.4717,1,0
G0.3_L0.3,0.3,0.3,25,6,TIMEOUT,0,8,0.4717,1,2
G0.3_L0.3,0.3,0.3,25,7,TIMEOUT,0,9,0.4717,1,0
G0.3_L0.3,0.3,0.3,25,8,TIMEOUT,0,10,0.4717,1,0
G0.3_L0.3,0.3,0.3,25,9,RESOURCE_TAKEN,0,11,0.4717,1,1
G0.3_L0.3,0.3,0.3,26,0,TIMEOUT,0,2,1.0,1,1
G0.3_L0.3,0.3,0.3,26,1,TIMEOUT,0,3,0.8488,1,2
G0.3_L0.3,0.3,0.3,26,2,TIMEOUT,0,4,0.567,1,1
G0.3_L0.3,0.3,0.3,26,3,TIMEOUT,0,5,0.4717,1,1
G0.3_L0.3,0.3,0.3,26,4,TIMEOUT,0,6,0.4717,1,0
G0.3_L0.3,0.3,0.3,26,5,TIMEOUT,0,7,0.4717,1,0
G0.3_L0.3,0.3,0.3,26,6,TIMEOUT,0,8,0.4717,1,3
G0.3_L0.3,0.3,0.3,26,7,TIMEOUT,0,9,0.4717,1,0
G0.3_L0.3,0.3,0.3,26,8,TIMEOUT,0,10,0.4717,1,0
G0.3_L0.3,0.3,0.3,26,9,TIMEOUT,0,11,0.4717,1,1
G0.3_L0.3,0.3,0.3,27,0,PARTNER_RESCUED,1,2,1.0,1,0
G0.3_L0.3,0.3,0.3,27,1,TIMEOUT,0,3,1.0,1,0
G0.3_L0.3,0.3,0.3,27,2,TIMEOUT,0,4,0.6458,1,0
G0.3_L0.3,0.3,0.3,27,3,TIMEOUT,0,5,0.4968,1,0
G0.3_L0.3,0.3,0.3,27,4,TIMEOUT,0,6,0.4717,1,0
G0.3_L0.3,0.3,0.3,27,5,TIMEOUT,0,7,0.4717,1,0
G0.3_L0.3,0.3,0.3,27,6,TIMEOUT,0,8,0.4717,1,0
G0.3_L0.3,0.3,0.3,27,7,TIMEOUT,0,9,0.4717,1,2
G0.3_L0.3,0.3,0.3,27,8,TIMEOUT,0,10,0.4717,1,2
G0.3_L0.3,0.3,0.3,27,9,RESOURCE_TAKEN,0,11,0.4717,1,0
G0.3_L0.3,0.3,0.3,28,0,PARTNER_RESCUED,1,2,1.0,1,0
G0.3_L0.3,0.3,0.3,28,1,TIMEOUT,0,3,1.0,1,1
G0.3_L0.3,0.3,0.3,28,2,TIMEOUT,0,4,0.6973,1,2
G0.3_L0.3,0.3,0.3,28,3,TIMEOUT,0,5,0.503,1,2
G0.3_L0.3,0.3,0.3,28,4,TIMEOUT,0,6,0.4717,1,0
G0.3_L0.3,0.3,0.3,28,5,TIMEOUT,0,7,0.4717,1,0
G0.3_L0.3,0.3,0.3,28,6,TIMEOUT,0,8,0.4717,1,1
G0.3_L0.3,0.3,0.3,28,7,RESOURCE_TAKEN,0,9,0.4717,1,0
G0.3_L0.3,0.3,0.3,28,8,PARTNER_RESCUED,1,10,1.0,1,0
G0.3_L0.3,0.3,0.3,28,9,PARTNER_RESCUED,1,11,0.62,1,0
G0.3_L0.3,0.3,0.3,29,0,PARTNER_RESCUED,1,2,1.0,1,0
G0.3_L0.3,0.3,0.3,29,1,PARTNER_RESCUED,1,3,0.62,1,0
G0.3_L0.3,0.3,0.3,29,2,TIMEOUT,0,4,1.0,1,0
G0.3_L0.3,0.3,0.3,29,3,TIMEOUT,0,5,0.5518,1,1
G0.3_L0.3,0.3,0.3,29,4,TIMEOUT,0,6,0.4717,1,0
G0.3_L0.3,0.3,0.3,29,5,TIMEOUT,0,7,0.4717,1,0
G0.3_L0.3,0.3,0.3,29,6,TIMEOUT,0,8,0.4717,1,1
G0.3_L0.3,0.3,0.3,29,7,RESOURCE_TAKEN,0,9,0.4717,1,0
G0.3_L0.3,0.3,0.3,29,8,PARTNER_RESCUED,1,10,1.0,1,0
G0.3_L0.3,0.3,0.3,29,9,TIMEOUT,0,11,1.0,1,1
G0.3_L0.3,0.3,0.3,30,0,PARTNER_RESCUED,1,2,1.0,1,0
G0.3_L0.3,0.3,0.3,30,1,TIMEOUT,0,3,1.0,1,0
G0.3_L0.3,0.3,0.3,30,2,TIMEOUT,0,4,0.6739,1,0
G0.3_L0.3,0.3,0.3,30,3,TIMEOUT,0,5,0.4909,1,0
G0.3_L0.3,0.3,0.3,30,4,TIMEOUT,0,6,0.4717,1,1
G0.3_L0.3,0.3,0.3,30,5,TIMEOUT,0,7,0.4717,1,2
G0.3_L0.3,0.3,0.3,30,6,TIMEOUT,0,8,0.4717,1,2
G0.3_L0.3,0.3,0.3,30,7,TIMEOUT,0,9,0.4717,1,0
G0.3_L0.3,0.3,0.3,30,8,TIMEOUT,0,10,0.4717,1,2
G0.3_L0.3,0.3,0.3,30,9,TIMEOUT,0,11,0.4717,1,0
G0.3_L0.3,0.3,0.3,31,0,TIMEOUT,0,2,1.0,1,1
G0.3_L0.3,0.3,0.3,31,1,TIMEOUT,0,3,0.7936,1,0
